grade,stars,batting_team,batter,batter_id,batter_hand,lineup_slot,lineup_confirmed,pitcher,pitcher_id,pitcher_hand,pitcher_team,top_pitches,game_id,game_time,home_team,away_team,total_flags,weighted_flag_score,in_slump,is_diamond,is_contact_pick,is_fallback,recent_flag_count,bvp_flag_count,vs_hand_flag_count,hist_hand_flag_count,hr_intent_score,season_pa,vs_hand_pa,recent_games_total,recent_games_both,recent_consistency_pct,pitcher_fb_pct_allowed,pitcher_hh_pct_allowed,pitcher_pa_faced,pitcher_meatball_pct,batter_meatball_score,meatball_matchup_score,bullpen_era,bullpen_hr9,bullpen_whip,bullpen_ip,bullpen_hr_rank,discipline_flag,discipline_score,season_chase_k_pct,recent_chase_k_pct,season_bb_pct,recent_bb_pct,oz_swing_pct,sim_pa,sim_h,sim_hr,sim_hr_adj,sim_2b,sim_3b,sim_bb,sim_k,sim_tb,sim_rbi,proj_hr_adj,proj_hit_prob,proj_xbh_prob,proj_avg_tb,proj_avg_rbi,recent_pa,recent_hr_count,ab_since_hr,recent_consec_hr_games,barrel_quality_score,recent_pulled_barrel_pct,recent_batter_ahead_pct,recent_iso,recent_sweet_spot_pct,recent_meatball_hr_rate,season_swstr_pct,season_woba,season_xwoba,blended_woba,blended_xwoba,l7_iso,l7_woba,l7_xwoba,zone_fit,gHR,gHR_yv2,recent_iso_yv2,season_iso,ps_score,ps_score_v2,hr_yesterday,so_close_count,so_close_max_dist,so_close_max_ev,so_close_reasons,ps_convergence,ps_conv_pitch,la_stddev,la_mean_l15,la_locked,bat_speed_vs_baseline,bat_speed_peaking,pitcher_count_mb_pct,fastball_velo_decay,pitcher_velo_declining,recent_avg_ev,recent_hh_pct,recent_avg_bat_speed,recent_batter_ahead_pct,recent_ev_flag,recent_barrel_pct,recent_barrel_flag,recent_fb_pct,recent_fb_flag,recent_avg_la,recent_la_flag,bvp_pa,bvp_hr_count,bvp_hr_by_pitch,bvp_avg_ev,bvp_hh_pct,bvp_avg_bat_speed,bvp_batter_ahead_pct,bvp_ev_flag,bvp_barrel_pct,bvp_barrel_flag,bvp_fb_pct,bvp_fb_flag,bvp_avg_la,bvp_la_flag,vs_hand_pa,vs_hand_hr_count,vs_hand_avg_ev,vs_hand_hh_pct,vs_hand_ev_flag,vs_hand_barrel_pct,vs_hand_barrel_flag,vs_hand_fb_pct,vs_hand_fb_flag,vs_hand_avg_la,vs_hand_la_flag,vs_hand_hr_rate,vs_hand_hit_rate,vs_hand_xbh_rate,hr_factor,wind_effect,temp_f,condition,pitcher_grade_label,pitcher_grade_label_vsL,pitcher_grade_label_vsR,pitcher_ip,zone_fit_season,recent_chase_pct,recent_zone_swing_pct,recent_avg_attack_angle,recent_attack_angle_stddev,recent_avg_swing_length,bvp_chase_pct,bvp_zone_swing_pct,bvp_avg_attack_angle,bvp_attack_angle_stddev,bvp_avg_swing_length,vs_hand_chase_pct,vs_hand_zone_swing_pct,vs_hand_avg_attack_angle,vs_hand_attack_angle_stddev,vs_hand_avg_swing_length,hist_hand_chase_pct,hist_hand_zone_swing_pct,hist_hand_avg_attack_angle,hist_hand_attack_angle_stddev,hist_hand_avg_swing_length,pitcher_upper_zone_pct,zone_fit_spatial,chance_of_rain_peak,is_dome,bvp_iso,bvp_pull_pct,bvp_fb350_count,pitcher_games_started
A,3,ATH,JJ Bleday,668709,L,0,False,Dylan Cease,656302,Right,TOR,"FF, SL, SI, CH",824958,10:05 PM,ATH,TOR,9,2.45,False,False,False,False,3,3,2,1,0.559,470,350,7,1,14.3,12.8,17.2,580.0,49.3,0.2131,0.0,,,,,,🟢 Disciplined,62.0,0.0,,13.6,,,4.2,0.856,0.182,0.182,0.15,0.011,0.621,0.814,1.574,0.319,0.0432,0.203,0.0813,0.3732,0.0756,28,1,6,0,2,10.7,32.1,0.174,21.4,7.1,13.8,0.339,0.359,0.34,0.0,0.174,0.346,0.0,3.026,33,33,0.174,0.174,23,23,0,3,363.0,101.9,deep fly ball 348ft 99mph | deep line drive 363ft 101mph | double 101mph EV | rocket LD 102mph,8.2,FF,28.07,15.1,False,-0.41,False,45.0,1.01,True,84.4,17.9,70.5,32.1,False,10.7,True,25.0,True,25.3,True,254,12,FF(39%):8/140pa  |  SL(34%):3/60pa  |  SI(11%):1/75pa  |  CH(10%):3/75pa,89.3,24.4,73.1,41.3,False,5.5,True,22.4,True,25.0,True,350,17,89.1,25.7,False,4.3,False,22.0,True,23.7,True,4.86,19.4,9.1,1.0,,,,,,,0.0,3.026,35.7,92.9,11.9,11.6,6.9,34.3,87.4,12.2,8.8,7.2,33.1,87.4,12.5,8.9,7.2,,,,,,6.7,6.96,,,0.22,36.6,21.0,0
B,2,ATH,Tommy White,695720,R,0,False,Dylan Cease,656302,Right,TOR,"FF, SL, SI, CH",824958,10:05 PM,ATH,TOR,7,1.6,False,False,False,False,1,2,2,2,0.2199,154,97,3,0,0.0,12.8,17.2,580.0,49.3,0.4109,0.0,,,,,,⬜ Neutral,56.0,0.0,,4.2,,,3.9,0.701,0.069,0.069,0.253,0.0,0.035,0.689,1.161,0.207,0.0176,0.1785,0.0819,0.2955,0.0527,12,0,48,0,0,0.0,25.0,0.083,0.0,0.0,14.3,0.264,0.295,0.252,0.0,0.083,0.106,0.0,1.174,9,9,0.083,0.083,29,29,0,2,371.0,96.5,deep fly ball 371ft 96mph | double 83mph EV,6.6,FF,33.43,5.5,False,1.47,False,45.0,1.01,True,86.1,25.0,68.0,25.0,False,0.0,False,33.3,True,9.0,False,74,2,FF(39%):1/42pa  |  SL(34%):0/24pa  |  SI(11%):1/36pa  |  CH(10%):0/18pa,85.9,21.6,66.9,31.1,False,9.5,True,25.7,True,11.7,False,97,2,84.6,20.6,False,8.2,True,24.7,True,12.6,False,2.06,21.6,7.2,1.0,,,,,,,0.0,1.174,33.3,83.3,10.2,6.4,7.4,41.9,83.8,8.2,7.4,7.2,49.5,78.4,9.2,7.3,7.3,,,,,,6.7,2.21,,,0.139,27.0,5.0,0
C,1,ATH,Brian Serven,661531,R,0,False,Dylan Cease,656302,Right,TOR,"FF, SL, SI, CH",824958,10:05 PM,ATH,TOR,2,0.75,False,False,True,False,1,0,1,0,0.2612,64,31,3,0,0.0,12.8,17.2,580.0,49.3,0.2594,0.0,,,,,,⬜ Neutral,52.0,0.0,,2.8,,,3.0,0.857,0.261,0.261,0.075,0.0,0.336,0.614,1.714,0.707,0.0869,0.2857,0.1119,0.5714,0.2357,14,1,8,0,1,0.0,35.7,0.333,35.7,10.0,18.8,0.333,0.332,0.345,0.0,0.333,0.469,0.0,5.189,23,23,0.333,0.333,29,29,0,2,338.0,103.9,deep line drive 332ft 104mph | double 104mph EV | deep fly ball 338ft 94mph,5.6,FF,24.31,3.7,False,1.19,False,45.0,1.01,True,91.4,28.6,69.5,35.7,False,7.1,True,14.3,False,5.8,False,21,2,FF(39%):3/25pa  |  SL(34%):0/4pa  |  SI(11%):0/8pa  |  CH(10%):1/11pa,89.5,19.0,70.9,42.9,False,4.8,False,19.0,False,12.9,False,31,3,88.0,19.4,False,6.5,True,16.1,False,11.4,False,9.68,22.6,9.7,1.0,,,,,,,0.0,5.189,35.7,85.7,6.5,12.1,6.7,33.3,85.7,11.2,10.7,7.1,35.5,83.9,10.9,10.6,7.1,,,,,,6.7,10.0,,,0.316,38.1,2.0,0
B,2,ATL,Sean Murphy,669221,R,0,False,Jesús Luzardo,666200,Left,PHI,"ST, FF, CH, SI",823415,01:05 PM,PHI,ATL,6,1.48,True,False,False,False,2,2,2,0,0.3251,70,22,4,0,0.0,13.3,20.9,675.0,47.9,0.8333,0.0,,,,,,🟢 Disciplined,59.0,0.0,,8.5,,,3.7,0.307,0.154,0.154,0.0,0.0,0.943,0.943,0.767,0.384,0.0412,0.0824,0.0412,0.2059,0.1029,17,2,2,0,2,0.0,47.1,0.5,17.6,33.3,24.3,0.318,0.279,0.342,0.0,0.5,0.556,0.0,4.79,35,35,0.5,0.5,29,29,0,1,172.0,106.1,rocket LD 106mph,7.4,ST,28.75,6.3,False,1.95,True,42.2,0.33,False,95.3,23.5,73.2,47.1,True,5.9,True,17.6,False,12.1,False,13,0,ST(34%):0/5pa  |  FF(28%):1/29pa  |  CH(19%):0/3pa  |  SI(18%):0/9pa,80.2,7.7,70.8,53.8,False,7.7,True,30.8,True,14.6,False,22,1,83.1,18.2,False,9.1,True,22.7,True,14.2,False,4.55,13.6,4.5,1.0,,,,,,,0.0,4.79,52.9,82.4,13.7,8.8,8.0,61.5,100.0,11.1,11.1,7.8,59.1,86.4,12.2,10.8,7.9,,,,,,3.3,7.37,,,0.0,7.7,1.0,0
C,1,ATL,Jonah Heim,641680,L,0,False,Jesús Luzardo,666200,Left,PHI,"ST, FF, CH, SI",823415,01:05 PM,PHI,ATL,3,0.9,False,False,True,False,1,1,1,0,0.2743,335,146,8,0,0.0,13.3,20.9,675.0,47.9,0.2728,0.0,,,,,,⬜ Neutral,56.0,0.0,,7.1,,,3.8,1.007,0.238,0.238,0.232,0.0,0.281,0.61,1.953,0.189,0.0633,0.2675,0.1249,0.519,0.0503,31,1,12,0,2,0.0,35.5,0.172,29.0,6.7,13.4,0.296,0.308,0.298,0.0,0.172,0.309,0.0,2.886,22,22,0.172,0.172,22,22,0,7,370.0,99.9,deep line drive 342ft 100mph | deep fly ball 370ft 97mph | double 93mph EV | deep fly ball 333ft 93mph | deep fly ball 3,4.9,FF,31.13,32.7,False,0.93,False,42.2,0.33,False,90.8,32.3,71.1,35.5,False,3.2,False,22.6,True,8.8,False,100,8,ST(34%):0/21pa  |  FF(28%):5/135pa  |  CH(19%):2/54pa  |  SI(18%):2/30pa,89.6,30.0,70.8,31.0,False,6.0,True,19.0,False,15.9,False,146,10,87.6,25.3,False,5.5,True,19.2,False,13.2,False,6.85,24.7,11.6,1.0,,,,,,,0.0,2.886,58.1,74.2,7.4,6.6,7.6,43.0,83.0,9.6,7.3,7.7,45.9,82.9,9.7,7.2,7.7,,,,,,3.3,5.99,,,0.33,29.0,7.0,0
C,1,ATL,Ronald Acuña Jr.,660670,R,0,False,Jesús Luzardo,666200,Left,PHI,"ST, FF, CH, SI",823415,01:05 PM,PHI,ATL,2,0.55,False,False,True,False,1,1,0,0,0.5273,357,116,7,0,0.0,13.3,20.9,675.0,47.9,0.3435,0.0,,,,,,🟢 Disciplined,62.0,0.0,,12.6,,,4.4,1.073,0.248,0.248,0.086,0.038,0.487,0.975,1.981,0.441,0.0565,0.2439,0.0848,0.4505,0.1003,32,2,0,1,2,3.1,31.2,0.241,31.2,13.3,17.6,0.354,0.363,0.38,0.0,0.241,0.5,0.0,3.44,25,25,0.241,0.241,22,22,0,4,348.0,106.3,deep fly ball 341ft 98mph | deep fly ball 348ft 90mph | double 101mph EV | rocket LD 106mph,11.6,ST,24.83,13.5,False,-0.06,False,42.2,0.33,False,92.9,34.4,74.1,31.2,False,6.2,True,15.6,False,9.3,False,75,4,ST(34%):2/29pa  |  FF(28%):1/123pa  |  CH(19%):1/34pa  |  SI(18%):8/65pa,91.5,25.3,74.7,42.7,False,6.7,True,17.3,False,11.4,False,116,4,87.4,19.8,False,4.3,False,14.7,False,12.1,False,3.45,18.1,6.9,1.0,,,,,,,0.0,3.44,46.9,84.4,10.3,9.3,7.5,46.7,82.7,7.6,10.7,7.4,43.1,85.3,7.6,11.2,7.4,100.0,100.0,,,,3.3,7.17,,,0.227,28.0,5.0,0
A,3,AZ,Randal Grichuk,545341,R,0,False,Noah Cameron,702070,Left,KC,"FC, FF, CH, CU",824062,02:10 PM,KC,AZ,9,2.4,False,False,False,False,3,2,2,2,0.3757,218,143,7,1,14.3,18.8,27.1,623.0,54.9,0.3494,0.0,,,,,,⬜ Neutral,56.0,0.0,,4.0,,,2.4,0.619,0.067,0.067,0.368,0.0,0.076,0.629,1.187,0.185,0.0283,0.262,0.1842,0.5027,0.0783,14,0,17,0,0,0.0,21.4,0.154,21.4,0.0,17.4,0.354,0.346,0.344,0.0,0.154,0.231,0.0,3.801,22,22,0.154,0.154,38,38,0,3,334.0,104.6,deep fly ball 334ft 94mph | double 105mph EV | deep line drive 330ft 99mph | double 99mph EV,17.5,CH,19.86,21.9,False,1.42,False,55.0,-0.44,False,96.2,35.7,75.7,21.4,True,0.0,False,28.6,True,23.0,True,92,4,FC(21%):0/19pa  |  FF(21%):1/64pa  |  CH(20%):2/36pa  |  CU(18%):1/8pa,91.8,42.4,74.3,22.8,False,10.9,True,26.1,True,19.7,False,143,8,91.4,35.7,False,7.7,True,23.8,True,21.5,False,5.59,28.7,17.5,1.0,,,,,,,0.0,3.801,57.1,85.7,8.6,8.6,7.9,45.7,85.9,8.0,6.8,7.7,47.6,84.6,8.2,7.1,7.7,,,,,,3.7,6.38,,,0.297,40.2,8.0,0
B,2,AZ,James McCann,543510,R,0,False,Noah Cameron,702070,Left,KC,"FC, FF, CH, CU",824062,02:10 PM,KC,AZ,8,1.75,False,False,False,False,3,1,0,4,0.5827,132,49,3,0,0.0,18.8,27.1,623.0,54.9,0.4738,0.0,,,,,,⬜ Neutral,56.0,0.0,,4.2,,,3.5,1.13,0.123,0.123,0.208,0.0,0.254,1.076,1.706,0.208,0.035,0.3217,0.0941,0.4857,0.0591,10,1,0,1,2,10.0,10.0,0.4,30.0,20.0,22.0,0.362,0.311,0.366,0.0,0.4,0.426,0.0,3.229,45,45,0.4,0.4,21,21,0,0,0.0,0.0,,8.6,FF,22.7,17.5,False,-3.5,False,55.0,-0.44,False,98.8,30.0,66.6,10.0,True,10.0,True,20.0,False,28.0,True,27,0,FC(21%):1/10pa  |  FF(21%):0/32pa  |  CH(20%):0/11pa  |  CU(18%):0/6pa,88.4,33.3,70.4,37.0,False,3.7,False,22.2,True,14.6,False,49,0,87.8,30.6,False,2.0,False,16.3,False,9.4,False,0.0,26.5,4.1,1.0,,,,,,,0.0,3.229,60.0,80.0,9.2,12.3,6.7,44.4,77.8,6.3,8.8,6.6,49.0,81.6,8.1,9.7,6.9,0.0,100.0,,,,3.7,6.34,,,0.042,7.4,1.0,0
B,2,AZ,Lars Nootbaar,663457,L,0,False,Noah Cameron,702070,Left,KC,"FC, FF, CH, CU",824062,02:10 PM,KC,AZ,5,1.45,False,False,False,False,3,1,0,1,0.5153,269,43,5,1,20.0,18.8,27.1,623.0,54.9,0.3221,0.0,,,,,,🟢 Disciplined,62.0,0.0,,14.9,,,3.9,0.34,0.068,0.068,0.136,0.0,0.693,1.324,0.68,0.408,0.0175,0.0875,0.0525,0.175,0.105,20,1,12,0,3,5.0,45.0,0.312,30.0,7.1,10.4,0.322,0.351,0.338,0.0,0.312,0.46,0.0,2.226,35,35,0.312,0.312,17,17,0,5,333.0,105.9,double 83mph EV | deep fly ball 333ft 96mph | rocket LD 106mph | rocket LD 105mph | double 100mph EV,3.3,FF,30.7,13.3,False,-0.98,False,55.0,-0.44,False,95.8,35.0,71.7,45.0,True,5.0,True,25.0,True,29.8,False,12,0,FC(21%):0/15pa  |  FF(21%):3/80pa  |  CH(20%):0/43pa  |  CU(18%):1/12pa,88.5,16.7,70.3,50.0,False,0.0,False,25.0,True,19.8,False,43,1,87.6,25.6,False,4.7,False,18.6,False,5.4,False,2.33,11.6,2.3,1.0,,,,,,,0.0,2.226,40.0,65.0,11.5,8.7,6.9,41.7,83.3,7.6,8.6,6.6,32.6,76.7,10.0,9.2,6.8,,,,,,3.7,3.82,,,0.0,8.3,0.0,0
A,3,BAL,Christian Encarnacion-Strand,687952,R,0,False,Joey Cantillo,676282,Left,CLE,"FF, CU, CH, FC",824793,01:35 PM,BAL,CLE,7,2.403,False,False,False,False,3,2,2,0,0.4993,149,59,8,0,0.0,17.0,25.3,578.0,57.6,0.3142,0.0327,,,,,,⬜ Neutral,52.0,0.0,,5.5,,,3.7,0.951,0.346,0.346,0.168,0.0,0.218,1.069,2.156,0.396,0.0927,0.2552,0.1379,0.5785,0.1062,26,1,8,0,3,3.8,30.8,0.167,26.9,7.7,22.1,0.348,0.362,0.344,0.0,0.167,0.319,0.0,5.104,35,35,0.167,0.167,29,29,0,2,341.0,94.7,deep fly ball 341ft 95mph | double 93mph EV,13.3,FF,23.56,20.0,False,0.25,False,54.4,0.02,False,88.2,15.4,71.9,30.8,False,7.7,True,26.9,True,12.6,False,41,5,FF(34%):4/51pa  |  CU(30%):0/3pa  |  CH(25%):3/20pa  |  FC(8%):0/5pa,90.6,29.3,73.6,24.4,False,19.5,True,36.6,True,18.1,False,59,6,91.8,28.8,False,15.3,True,28.8,True,15.6,False,10.17,28.8,13.6,1.0,,,,,,,0.0,5.104,50.0,73.1,15.1,8.8,7.6,61.0,78.0,15.1,11.0,7.3,59.3,74.6,16.8,10.8,7.5,,,,,,4.3,9.0,,,0.447,29.3,9.0,0
