grade,stars,batting_team,batter,batter_id,batter_hand,lineup_slot,lineup_confirmed,pitcher,pitcher_id,pitcher_hand,pitcher_team,top_pitches,game_id,game_time,home_team,away_team,total_flags,weighted_flag_score,in_slump,is_diamond,is_contact_pick,is_fallback,recent_flag_count,bvp_flag_count,vs_hand_flag_count,hist_hand_flag_count,hr_intent_score,season_pa,vs_hand_pa,recent_games_total,recent_games_both,recent_consistency_pct,pitcher_fb_pct_allowed,pitcher_hh_pct_allowed,pitcher_pa_faced,pitcher_meatball_pct,batter_meatball_score,meatball_matchup_score,bullpen_era,bullpen_hr9,bullpen_whip,bullpen_ip,bullpen_hr_rank,discipline_flag,discipline_score,season_chase_k_pct,recent_chase_k_pct,season_bb_pct,recent_bb_pct,oz_swing_pct,sim_pa,sim_h,sim_hr,sim_hr_adj,sim_2b,sim_3b,sim_bb,sim_k,sim_tb,sim_rbi,proj_hr_adj,proj_hit_prob,proj_xbh_prob,proj_avg_tb,proj_avg_rbi,recent_pa,recent_hr_count,ab_since_hr,recent_consec_hr_games,barrel_quality_score,recent_pulled_barrel_pct,recent_batter_ahead_pct,recent_iso,recent_sweet_spot_pct,recent_meatball_hr_rate,season_swstr_pct,season_woba,season_xwoba,blended_woba,blended_xwoba,l7_iso,l7_woba,l7_xwoba,zone_fit,gHR,gHR_yv2,recent_iso_yv2,season_iso,ps_score,ps_score_v2,hr_yesterday,so_close_count,so_close_max_dist,so_close_max_ev,so_close_reasons,ps_convergence,ps_conv_pitch,la_stddev,la_mean_l15,la_locked,bat_speed_vs_baseline,bat_speed_peaking,pitcher_count_mb_pct,fastball_velo_decay,pitcher_velo_declining,recent_avg_ev,recent_hh_pct,recent_avg_bat_speed,recent_batter_ahead_pct,recent_ev_flag,recent_barrel_pct,recent_barrel_flag,recent_fb_pct,recent_fb_flag,recent_avg_la,recent_la_flag,bvp_pa,bvp_hr_count,bvp_hr_by_pitch,bvp_avg_ev,bvp_hh_pct,bvp_avg_bat_speed,bvp_batter_ahead_pct,bvp_ev_flag,bvp_barrel_pct,bvp_barrel_flag,bvp_fb_pct,bvp_fb_flag,bvp_avg_la,bvp_la_flag,vs_hand_pa,vs_hand_hr_count,vs_hand_avg_ev,vs_hand_hh_pct,vs_hand_ev_flag,vs_hand_barrel_pct,vs_hand_barrel_flag,vs_hand_fb_pct,vs_hand_fb_flag,vs_hand_avg_la,vs_hand_la_flag,vs_hand_hr_rate,vs_hand_hit_rate,vs_hand_xbh_rate,hr_factor,wind_effect,temp_f,condition,pitcher_grade_label,pitcher_grade_label_vsL,pitcher_grade_label_vsR,pitcher_ip,zone_fit_season,recent_chase_pct,recent_zone_swing_pct,recent_avg_attack_angle,recent_attack_angle_stddev,recent_avg_swing_length,bvp_chase_pct,bvp_zone_swing_pct,bvp_avg_attack_angle,bvp_attack_angle_stddev,bvp_avg_swing_length,vs_hand_chase_pct,vs_hand_zone_swing_pct,vs_hand_avg_attack_angle,vs_hand_attack_angle_stddev,vs_hand_avg_swing_length,hist_hand_chase_pct,hist_hand_zone_swing_pct,hist_hand_avg_attack_angle,hist_hand_attack_angle_stddev,hist_hand_avg_swing_length,pitcher_upper_zone_pct,zone_fit_spatial,chance_of_rain_peak,is_dome,bvp_iso,bvp_pull_pct,bvp_fb350_count,pitcher_games_started
B,2,ATH,Zack Gelof,680869,R,0,False,Unknown (nan),nan,?,SEA,---,824954,09:40 PM,ATH,SEA,3,1.2,False,False,False,False,3,0,0,0,0.3897,364,0,7,0,0.0,,,,,0.3184,0.0,4.37,1.25,1.36,481.7,9,⬜ Neutral,56.0,0.0,,7.8,,24.9,4.0,1.038,0.389,0.389,0.259,0.13,0.13,1.038,2.724,0.778,0.0968,0.2581,0.1935,0.6774,0.1935,31,3,15,0,1,6.5,29.0,0.246,35.5,18.8,18.7,0.347,0.304,0.359,0.0,0.433,0.417,0.0,0.0,32,32,0.246,0.207,7,7,0,5,392.0,105.4,deep fly ball 376ft 100mph | double 100mph EV | rocket LD 105mph | deep fly ball 384ft 103mph | triple 103mph EV | deep ,0.0,,24.57,-3.7,False,0.3,False,,,False,93.2,38.7,73.8,29.0,True,19.4,True,29.0,True,11.1,False,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,41.9,87.1,13.0,6.7,7.0,,,,,,,,,,,,,,,,,,,,,,,0
B,2,ATL,Ronald Acuña Jr.,660670,R,0,False,Unknown (nan),nan,?,PHI,---,824873,07:15 PM,ATL,PHI,3,1.2,False,False,False,False,3,0,0,0,0.6405,369,0,6,0,0.0,,,,,0.3254,0.0,3.91,1.02,1.25,424.0,18,🟢 Disciplined,62.0,0.0,,12.5,,28.3,4.4,1.786,0.487,0.487,0.325,0.0,0.162,0.487,3.572,1.461,0.1111,0.4074,0.1852,0.8148,0.3333,27,3,7,0,3,7.4,18.5,0.226,33.3,22.2,17.3,0.356,0.365,0.389,0.0,0.44,0.571,0.0,0.0,35,35,0.226,0.188,6,6,0,4,346.0,106.3,double 101mph EV | rocket LD 106mph | deep fly ball 346ft 96mph | double 96mph EV | deep fly ball 345ft 98mph,0.0,,24.83,13.5,False,-0.11,False,,,False,93.5,44.4,75.5,18.5,True,7.4,True,25.9,True,18.6,False,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,44.4,85.2,13.2,6.3,7.6,,,,,,,,,,,,,,,,,,,,,,,0
B,2,ATL,Mauricio Dubón,643289,R,0,False,Unknown (nan),nan,?,PHI,---,824873,07:15 PM,ATL,PHI,3,1.2,False,False,False,False,3,0,0,0,0.5637,514,0,5,1,20.0,,,,,0.2969,0.0,3.91,1.02,1.25,424.0,18,⬜ Neutral,56.0,0.0,,5.9,,37.5,4.0,1.049,0.21,0.21,0.21,0.0,0.0,0.42,1.888,0.42,0.0526,0.2632,0.1053,0.4737,0.1053,19,1,15,0,1,5.3,31.6,0.13,26.3,8.3,8.9,0.301,0.303,0.303,0.0,0.211,0.317,0.0,0.0,34,34,0.13,0.12,4,4,0,2,352.0,97.2,double 83mph EV | deep line drive 352ft 97mph,0.0,,27.8,23.4,False,-0.51,False,,,False,87.0,31.6,67.8,31.6,False,5.3,True,36.8,True,15.1,False,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,57.9,84.2,1.7,7.4,7.6,,,,,,,,,,,,,,,,,,,,,,,0
B,2,AZ,James McCann,543510,R,0,False,Unknown (nan),nan,?,TEX,---,825036,09:40 PM,AZ,TEX,3,1.2,False,False,False,False,3,0,0,0,0.673,136,0,3,0,0.0,,,,,0.4557,0.0,5.19,1.52,1.54,296.3,3,⬜ Neutral,56.0,0.0,,4.1,,39.7,3.5,1.057,0.352,0.352,0.0,0.0,0.0,1.762,2.114,0.705,0.1,0.3,0.1,0.6,0.2,10,1,3,0,2,10.0,20.0,0.163,40.0,16.7,21.3,0.358,0.312,0.36,0.0,0.333,0.387,0.0,0.0,35,35,0.163,0.152,6,6,0,2,365.0,97.9,deep fly ball 365ft 96mph | deep line drive 350ft 98mph,0.0,,22.7,17.5,False,-2.43,False,,,False,99.1,50.0,68.8,20.0,True,10.0,True,20.0,False,20.0,False,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,40.0,80.0,11.9,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0
B,2,AZ,Corbin Carroll,682998,L,0,False,Unknown (nan),nan,?,TEX,---,825036,09:40 PM,AZ,TEX,3,1.2,False,False,False,False,3,0,0,0,0.3995,579,0,5,0,0.0,,,,,0.2911,0.0,5.19,1.52,1.54,296.3,3,🟢 Disciplined,59.0,0.0,,10.7,,29.2,4.3,0.717,0.0,0.0,0.478,0.0,0.0,1.195,1.195,0.0,0.0,0.1667,0.1111,0.2778,0.0,18,0,34,0,2,5.6,22.2,0.214,11.1,0.0,14.5,0.345,0.337,0.328,0.0,0.111,0.19,0.0,0.0,29,29,0.214,0.226,16,16,0,5,414.0,106.3,double 105mph EV | deep fly ball 414ft 105mph | deep fly ball 354ft 100mph | double 100mph EV | rocket LD 106mph | deep ,0.0,,25.21,17.0,False,2.24,True,,,False,95.5,38.9,77.1,22.2,True,16.7,True,27.8,True,29.7,False,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,33.3,100.0,11.4,7.4,7.6,,,,,,,,,,,,,,,,,,,,,,,0
B,2,BAL,Coby Mayo,691723,R,0,False,Unknown (nan),nan,?,TOR,---,822767,07:07 PM,TOR,BAL,3,1.2,False,False,False,False,3,0,0,0,0.6374,373,0,7,0,0.0,,,,,0.1903,0.0,3.51,1.01,1.29,294.7,19,⬜ Neutral,56.0,0.0,,7.2,,32.4,3.5,0.902,0.301,0.301,0.15,0.0,0.301,0.601,1.953,0.451,0.087,0.2609,0.1304,0.5652,0.1304,23,2,3,0,3,8.7,26.1,0.252,26.1,7.7,23.9,0.328,0.336,0.339,0.0,0.333,0.414,0.0,0.0,36,36,0.252,0.24,7,7,0,2,354.0,96.9,deep line drive 354ft 97mph | double 97mph EV | deep fly ball 348ft 95mph,0.0,,35.94,19.9,False,0.41,False,,,False,87.4,30.4,76.0,26.1,False,8.7,True,30.4,True,15.0,False,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,56.5,73.9,11.9,11.7,7.2,,,,,,,,,,,,,,,,,,,,,,,0
B,2,BAL,Luis Robert Jr.,673357,R,0,False,Unknown (nan),nan,?,TOR,---,822767,07:07 PM,TOR,BAL,3,1.2,False,False,False,False,3,0,0,0,0.4673,204,0,3,1,33.3,,,,,0.1935,0.0,3.51,1.01,1.29,294.7,19,🟢 Disciplined,59.0,0.0,,8.4,,32.7,3.8,0.629,0.314,0.314,0.314,0.0,0.314,0.629,1.886,0.943,0.0833,0.1667,0.1667,0.5,0.25,12,1,3,0,2,8.3,33.3,0.199,41.7,,14.7,0.3,0.313,0.303,0.0,0.364,0.339,0.0,0.0,30,30,0.199,0.186,14,14,0,4,378.0,112.4,deep fly ball 349ft 92mph | deep line drive 378ft 103mph | double 103mph EV | deep fly ball 368ft 92mph | deep line driv,0.0,,27.99,11.3,False,1.82,True,,,False,95.3,33.3,79.1,33.3,True,25.0,True,25.0,True,8.2,False,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,50.0,83.3,9.6,8.5,7.7,,,,,,,,,,,,,,,,,,,,,,,0
C,1,BAL,Christian Encarnacion-Strand,687952,R,0,False,Unknown (nan),nan,?,TOR,---,822767,07:07 PM,TOR,BAL,3,0.72,True,False,False,False,3,0,0,0,0.5029,159,0,7,1,14.3,,,,,0.311,0.0,3.51,1.01,1.29,294.7,19,⬜ Neutral,52.0,0.0,,5.7,,47.1,3.7,0.805,0.161,0.161,0.322,0.0,0.483,1.127,1.61,0.483,0.0435,0.2174,0.1304,0.4348,0.1304,23,1,16,0,2,4.3,21.7,0.225,30.4,10.0,23.3,0.343,0.37,0.347,0.0,0.25,0.371,0.0,0.0,30,30,0.225,0.221,4,4,0,3,370.0,104.4,double 93mph EV | deep fly ball 344ft 104mph | double 104mph EV | deep fly ball 370ft 103mph,0.0,,25.59,23.4,False,-1.14,False,,,False,86.8,17.4,71.0,21.7,False,8.7,True,26.1,True,17.2,False,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,52.2,69.6,16.9,10.1,7.8,,,,,,,,,,,,,,,,,,,,,,,0
A,3,BOS,Adley Rutschman,668939,L,0,False,Seth Lugo,607625,Right,KC,"SI, FC, CU, FF",824711,07:10 PM,BOS,KC,7,1.95,False,False,False,False,3,2,1,1,0.6431,337,226,4,1,25.0,22.6,32.0,641.0,54.4,0.3147,0.0,5.79,1.49,1.64,404.0,4,🟢 Disciplined,59.0,0.0,,9.5,,25.3,4.1,0.959,0.457,0.457,0.276,0.021,0.329,0.773,2.646,0.576,0.1103,0.2314,0.1818,0.6387,0.1391,16,3,0,1,3,12.5,43.8,0.229,31.2,27.3,8.6,0.33,0.337,0.344,0.0,0.625,0.473,0.0,3.217,40,40,0.229,0.187,25,25,0,2,335.0,91.6,deep fly ball 335ft 91mph | double 92mph EV,13.4,FC,23.91,16.1,False,-0.16,False,50.0,-0.46,False,88.4,12.5,70.2,43.8,False,12.5,True,37.5,True,19.6,False,131,9,SI(23%):3/58pa  |  FC(19%):3/19pa  |  CU(15%):1/19pa  |  FF(13%):4/100pa,91.9,35.9,71.3,41.2,False,6.1,True,29.0,True,18.2,False,226,9,89.2,28.3,False,4.0,False,23.5,True,14.7,False,3.98,21.2,11.5,1.0,,,,🎯 Target,💥 Hittable,💥 Hittable,156.7,3.217,25.0,81.2,13.6,8.5,7.1,34.4,80.9,6.9,10.5,6.6,41.2,77.0,8.0,10.5,6.8,,,,,,3.4,5.91,,,0.336,38.2,16.0,29
B,2,BOS,Roman Anthony,701350,L,0,False,Seth Lugo,607625,Right,KC,"SI, FC, CU, FF",824711,07:10 PM,BOS,KC,6,1.34,True,False,False,False,1,2,2,1,0.283,151,110,7,2,28.6,22.6,32.0,641.0,54.4,0.0694,0.0,5.79,1.49,1.64,404.0,4,🟢 Disciplined,62.0,0.0,,14.5,,21.6,4.3,0.806,0.134,0.134,0.135,0.045,0.672,1.343,1.432,0.134,0.0309,0.1856,0.0722,0.3299,0.0309,34,2,21,0,2,0.0,29.4,0.156,20.6,5.9,20.5,0.332,0.357,0.323,0.0,0.2,0.284,0.0,0.735,22,22,0.156,0.146,28,28,0,1,392.0,102.3,deep fly ball 392ft 102mph,17.3,FC,17.56,11.1,False,-1.52,False,50.0,-0.46,False,90.3,23.5,71.5,29.4,False,11.8,True,17.6,False,9.4,False,63,1,SI(23%):0/31pa  |  FC(19%):1/7pa  |  CU(15%):0/14pa  |  FF(13%):0/40pa,98.6,41.3,74.8,39.7,True,7.9,True,15.9,False,14.3,False,110,3,95.4,31.8,True,5.5,True,16.4,False,11.8,False,2.73,19.1,8.2,1.0,,,,🎯 Target,💥 Hittable,💥 Hittable,156.7,0.735,32.4,85.3,12.3,9.8,7.2,27.0,79.4,10.2,9.5,7.3,33.6,80.0,11.7,10.3,7.4,0.0,100.0,,,,3.4,3.37,,,0.154,22.2,4.0,29
