Player,Player ID,Team,Category,Scope,Current,Milestone,Away
Dillon Dingler,693307,DET,Extra-Base Hits,Career,100,100,0
Nick Gonzales,693304,PIT,Extra-Base Hits,Career,100,100,0
Zach Neto,687263,LAA,Extra-Base Hits,Career,200,200,0
Vinnie Pasquantino,686469,KC,Extra-Base Hits,Career,200,200,0
Amed Rosario,642708,NYY,Extra-Base Hits,Career,300,300,0
Ozzie Albies,645277,ATL,Extra-Base Hits,Season,50,50,0
Francisco Alvarez,682626,NYM,Extra-Base Hits,Season,30,30,0
Harrison Bader,664056,SF,Extra-Base Hits,Season,10,10,0
Jake Bauers,641343,MIL,Extra-Base Hits,Season,50,50,0
Jordan Beck,687597,COL,Extra-Base Hits,Season,10,10,0
Andrew Benintendi,643217,CWS,Extra-Base Hits,Season,40,40,0
Alex Bregman,608324,CHC,Extra-Base Hits,Season,60,60,0
Jake Burger,669394,TEX,Extra-Base Hits,Season,50,50,0
Luis Campusano,669134,SD,Extra-Base Hits,Season,20,20,0
Kerry Carpenter,681481,DET,Extra-Base Hits,Season,20,20,0
Jake Cronenworth,630105,SD,Extra-Base Hits,Season,20,20,0
Elias Díaz,553869,TEX,Extra-Base Hits,Season,20,20,0
Blake Dunn,694362,CIN,Extra-Base Hits,Season,10,10,0
Jarren Duran,680776,BOS,Extra-Base Hits,Season,40,40,0
Bryce Eldridge,805811,SF,Extra-Base Hits,Season,40,40,0
A.J. Ewing,805999,NYM,Extra-Base Hits,Season,30,30,0
Tyler Freeman,671289,COL,Extra-Base Hits,Season,10,10,0
Mickey Gasper,681508,BOS,Extra-Base Hits,Season,20,20,0
Zack Gelof,680869,ATH,Extra-Base Hits,Season,40,40,0
Hunter Goodman,696100,COL,Extra-Base Hits,Season,60,60,0
Jackson Holliday,702616,BAL,Extra-Base Hits,Season,20,20,0
Jeremiah Jackson,669236,BAL,Extra-Base Hits,Season,20,20,0
Carter Jensen,695600,KC,Extra-Base Hits,Season,60,60,0
Josh Jung,673962,TEX,Extra-Base Hits,Season,40,40,0
Christian Koss,683766,SF,Extra-Base Hits,Season,10,10,0
Ryan Kreidler,668952,MIN,Extra-Base Hits,Season,20,20,0
Hao-Yu Lee,701678,DET,Extra-Base Hits,Season,30,30,0
Ben Malgeri,701162,DET,Extra-Base Hits,Season,10,10,0
Brandon Marsh,669016,PHI,Extra-Base Hits,Season,40,40,0
Austin Martin,668885,MIN,Extra-Base Hits,Season,20,20,0
Kevin McGonigle,805808,DET,Extra-Base Hits,Season,50,50,0
MJ Melendez,669004,NYM,Extra-Base Hits,Season,10,10,0
Jake Meyers,676694,HOU,Extra-Base Hits,Season,10,10,0
Andruw Monasterio,655316,BOS,Extra-Base Hits,Season,30,30,0
Gabriel Moreno,672515,AZ,Extra-Base Hits,Season,50,50,0
Max Muncy,691777,ATH,Extra-Base Hits,Season,20,20,0
Carlos Narváez,665966,BAL,Extra-Base Hits,Season,10,10,0
Zach Neto,687263,LAA,Extra-Base Hits,Season,60,60,0
Connor Norby,681393,COL,Extra-Base Hits,Season,30,30,0
Shohei Ohtani,660271,LAD,Extra-Base Hits,Season,60,60,0
Abimelec Ortiz,694673,WSH,Extra-Base Hits,Season,10,10,0
Pedro Pagés,686780,STL,Extra-Base Hits,Season,10,10,0
Joc Pederson,592626,TEX,Extra-Base Hits,Season,40,40,0
Everson Pereira,677592,STL,Extra-Base Hits,Season,10,10,0
Pedro Ramírez,699393,CHC,Extra-Base Hits,Season,20,20,0
Miguel Rojas,500743,LAD,Extra-Base Hits,Season,20,20,0
Thomas Saggese,695336,STL,Extra-Base Hits,Season,10,10,0
Marcus Semien,543760,NYM,Extra-Base Hits,Season,30,30,0
Nick Sogard,686765,BOS,Extra-Base Hits,Season,20,20,0
Edmundo Sosa,624641,PHI,Extra-Base Hits,Season,20,20,0
Juan Soto,665742,NYM,Extra-Base Hits,Season,40,40,0
Spencer Steer,668715,CIN,Extra-Base Hits,Season,30,30,0
Leody Taveras,665750,BAL,Extra-Base Hits,Season,30,30,0
Lane Thomas,657041,ATL,Extra-Base Hits,Season,30,30,0
Taylor Trammell,666211,HOU,Extra-Base Hits,Season,20,20,0
Nelson Velázquez,676369,HOU,Extra-Base Hits,Season,10,10,0
LaMonte Wade Jr.,664774,HOU,Extra-Base Hits,Season,10,10,0
Ryan Waldschmidt,814439,AZ,Extra-Base Hits,Season,20,20,0
Cole Young,702284,SEA,Extra-Base Hits,Season,40,40,0
Andrew Benintendi,643217,CWS,Hits,Season,100,100,0
Elias Díaz,553869,TEX,Hits,Season,50,50,0
Christian Vázquez,543877,HOU,Hits,Season,50,50,0
Gary Sánchez,596142,MIL,Home Runs,Career,200,200,0
Ronald Acuña Jr.,660670,ATL,Home Runs,Season,20,20,0
Josh Bell,605137,MIN,Home Runs,Season,20,20,0
Michael Busch,683737,CHC,Home Runs,Season,20,20,0
