Date,Game Time (ET),Home Team,Away Team,Probable Pitcher ID (Home),Probable Pitcher ID (Away),Game ID,Venue ID,Venue Name
2026-08-28,02:20 PM,CHC,CIN,656849,695076,824638,17,Wrigley Field
2026-08-28,06:40 PM,DET,LAD,623454,669373,824231,2394,Comerica Park
2026-08-28,06:45 PM,WSH,MIA,800600,691587,822691,3309,Nationals Park
2026-08-28,07:10 PM,CLE,KC,676440,608379,824396,5,Progressive Field
2026-08-28,07:10 PM,NYM,HOU,681035,686613,823583,3289,Citi Field
2026-08-28,07:10 PM,TB,SD,663556,663554,822935,12,Tropicana Field
2026-08-28,07:15 PM,TOR,SEA,656302,,822769,14,Rogers Centre
2026-08-28,07:15 PM,ATL,COL,656550,608372,824877,4705,Truist Park
2026-08-28,07:15 PM,NYY,BOS,693645,663776,823504,3313,Yankee Stadium
2026-08-28,07:40 PM,MIL,TEX,701656,674003,823744,32,American Family Field
2026-08-28,08:10 PM,MIN,CWS,665152,622491,823666,3312,Target Field
2026-08-28,08:15 PM,STL,PIT,687273,683003,823013,2889,Busch Stadium
2026-08-28,09:38 PM,LAA,PHI,672282,691725,823985,1,Angel Stadium
2026-08-28,09:40 PM,ATH,BAL,,687064,824960,2529,Sutter Health Park
2026-08-28,10:15 PM,SF,AZ,694918,684442,823178,2395,Oracle Park
2026-08-29,01:05 PM,NYY,BOS,,687562,823539,3313,Yankee Stadium
2026-08-29,07:15 PM,NYY,BOS,,,823501,3313,Yankee Stadium
2026-08-29,01:10 PM,DET,LAD,672456,605483,824230,2394,Comerica Park
2026-08-29,02:10 PM,MIN,CWS,641927,607200,823665,3312,Target Field
2026-08-29,02:15 PM,STL,PIT,681517,,823011,2889,Busch Stadium
2026-08-29,02:20 PM,CHC,CIN,592332,671096,824637,17,Wrigley Field
2026-08-29,03:07 PM,TOR,SEA,667755,,822770,14,Rogers Centre
2026-08-29,04:05 PM,SF,AZ,,,823177,2395,Oracle Park
2026-08-29,10:05 PM,SF,AZ,,,823176,2395,Oracle Park
2026-08-29,04:05 PM,WSH,MIA,676917,645261,822690,3309,Nationals Park
2026-08-29,04:10 PM,CLE,KC,656492,663738,824392,5,Progressive Field
2026-08-29,04:10 PM,NYM,HOU,690997,,823582,3289,Citi Field
2026-08-29,04:10 PM,TB,SD,607259,621111,822936,12,Tropicana Field
2026-08-29,04:10 PM,ATL,COL,527048,663372,824874,4705,Truist Park
2026-08-29,07:15 PM,MIL,TEX,675660,615698,823741,32,American Family Field
2026-08-29,10:05 PM,ATH,BAL,,669358,824961,2529,Sutter Health Park
2026-08-29,10:07 PM,LAA,PHI,696270,650911,823986,1,Angel Stadium
