player_id,name,team,sprint_speed,hp_to_1b,bolts,competitive_runs
703607,Henry Bolte,ATH,30.6,4.16,66.0,104
695508,Cam Cauley,TEX,30.5,4.1,12.0,19
622761,Jorge Mateo,ATL,30.3,4.12,28.0,51
642201,Eli White,ATL,30.3,4.22,39.0,75
677951,Bobby Witt Jr.,KC,30.3,4.16,71.0,144
694371,Tommy Troy,AZ,30.1,4.16,29.0,54
804606,Konnor Griffin,PIT,29.9,4.27,48.0,108
664983,Jake McCarthy,COL,29.9,4.18,64.0,174
682668,Luisangel Acuña,CWS,29.8,4.21,38.0,88
642350,Jose Siri,LAA,29.8,4.21,17.0,46
669003,Garrett Mitchell,MIL,29.8,4.08,50.0,148
621439,Byron Buxton,MIN,29.8,4.14,33.0,98
683083,Nasim Nuñez,WSH,29.8,4.16,50.0,143
607208,Trea Turner,PHI,29.7,4.27,63.0,165
687363,Victor Scott II,STL,29.7,4.16,29.0,70
664702,Myles Straw,TOR,29.7,4.16,26.0,76
665923,Esteury Ruiz,MIA,29.7,4.31,14.0,39
682998,Corbin Carroll,AZ,29.7,4.13,45.0,158
680737,Michael Helman,TEX,29.7,nan,3.0,8
656537,Derek Hill,PHI,29.7,4.27,12.0,44
702222,Justin Crawford,PHI,29.6,4.15,56.0,142
694362,Blake Dunn,CIN,29.6,4.21,27.0,58
669326,Bryce Teodosio,LAA,29.6,4.22,4.0,17
699912,Jose Fernandez,AZ,29.5,4.34,9.0,61
691718,Pete Crow-Armstrong,CHC,29.5,4.26,29.0,142
802415,Chandler Simpson,TB,29.5,3.97,81.0,230
805999,A.J. Ewing,NYM,29.5,4.15,31.0,102
681987,Nate Eaton,BOS,29.5,nan,6.0,14
695257,Billy Cook,PIT,29.5,nan,4.0,20
687749,Jase Bowen,SD,29.4,nan,8.0,22
686475,Tyler Tolbert,KC,29.4,4.27,5.0,41
663968,Jake Mangum,PIT,29.4,4.04,38.0,154
666152,David Hamilton,MIL,29.4,4.03,43.0,80
670224,Kameron Misner,KC,29.3,nan,nan,8
695734,Daylen Lile,WSH,29.3,4.21,25.0,154
686611,Dylan Crews,WSH,29.3,4.29,4.0,93
696285,Jacob Young,WSH,29.2,4.3,20.0,123
669392,Samad Taylor,SD,29.2,4.24,2.0,29
701358,Cam Smith,HOU,29.2,4.37,25.0,152
665161,Jeremy Peña,HOU,29.2,4.34,15.0,114
691023,Jordan Walker,STL,29.2,4.35,22.0,160
663604,Brandon Lockridge,MIL,29.2,4.3,7.0,43
687401,Joey Ortiz,MIL,29.1,4.32,11.0,112
673357,Luis Robert Jr.,NYM,29.1,4.34,4.0,52
657041,Lane Thomas,KC,29.1,4.38,15.0,109
682622,Noelvi Marte,CIN,29.1,4.36,6.0,73
701162,Ben Malgeri,DET,29.1,4.27,2.0,23
678882,Ceddanne Rafaela,BOS,29.1,4.12,21.0,184
676356,Jonny DeLuca,TB,29.1,4.29,19.0,89
680776,Jarren Duran,BOS,29.0,4.23,9.0,133
676551,Brewer Hicklen,ATL,29.0,nan,1.0,14
621438,Tyrone Taylor,NYM,29.0,4.47,3.0,57
807713,Matt Shaw,CHC,29.0,4.31,4.0,52
691907,Tsung-Che Cheng,BOS,29.0,nan,1.0,14
665750,Leody Taveras,BAL,29.0,4.27,30.0,114
677649,Ezequiel Duran,TEX,29.0,4.26,12.0,152
687637,Dylan Beavers,BAL,29.0,4.23,1.0,64
670231,John Rave,KC,29.0,nan,2.0,14
682987,Spencer Jones,NYY,29.0,4.24,7.0,27
