Game ID,date,home_team,away_team,venue,n_balls,avg_ev,avg_dist,avg_deviation,park_adj_deviation,se,z,verdict,dead_threshold_ft,juiced_threshold_ft
776135,2025-09-28,LAA,HOU,Angel Stadium,8,103.28,381.88,12.95,8.61,7.93,1.09,NORMAL,-15.9,15.9
776136,2025-09-28,SD,AZ,Petco Park,7,100.79,354.43,3.98,4.18,8.48,0.49,NORMAL,-17.0,17.0
776137,2025-09-28,SF,COL,Oracle Park,6,101.25,368.5,8.69,7.24,9.15,0.79,NORMAL,-18.3,18.3
776138,2025-09-28,ATH,KC,Sutter Health Park,10,104.3,365.8,20.41,9.18,7.09,1.29,NORMAL,-14.2,14.2
776139,2025-09-28,SEA,LAD,T-Mobile Park,9,100.79,339.67,-9.85,-12.79,7.47,-1.71,NORMAL,-14.9,14.9
776142,2025-09-28,CHC,STL,Wrigley Field,7,100.43,323.43,-4.69,-5.32,8.48,-0.63,NORMAL,-17.0,17.0
776143,2025-09-28,WSH,CWS,Nationals Park,8,101.82,361.12,3.96,-0.92,7.93,-0.12,NORMAL,-15.9,15.9
776144,2025-09-28,MIL,CIN,American Family Field,7,101.81,374.43,4.55,-4.18,8.48,-0.49,NORMAL,-17.0,17.0
776145,2025-09-28,TOR,TB,Rogers Centre,7,103.73,383.14,16.78,12.82,8.48,1.51,NORMAL,-17.0,17.0
776146,2025-09-27,SF,COL,Oracle Park,6,103.45,387.83,11.82,10.37,9.15,1.13,NORMAL,-18.3,18.3
776147,2025-09-28,CLE,TEX,Progressive Field,14,101.26,353.29,-3.47,-5.18,5.99,-0.87,NORMAL,-12.0,12.0
776148,2025-09-28,MIA,NYM,loanDepot park,7,101.79,363.0,19.62,14.28,8.48,1.68,NORMAL,-17.0,17.0
776149,2025-09-28,ATL,PIT,Truist Park,5,100.98,369.2,14.96,4.19,10.03,0.42,NORMAL,-20.1,20.1
776150,2025-09-27,SEA,LAD,T-Mobile Park,6,101.7,352.17,-0.54,-3.48,9.15,-0.38,NORMAL,-18.3,18.3
776151,2025-09-28,BOS,DET,Fenway Park,9,101.11,360.89,9.72,7.57,7.47,1.01,NORMAL,-14.9,14.9
776152,2025-09-27,SD,AZ,Petco Park,7,101.51,357.71,6.94,7.14,8.48,0.84,NORMAL,-17.0,17.0
776153,2025-09-27,MIL,CIN,American Family Field,7,99.36,374.86,9.05,0.32,8.48,0.04,NORMAL,-17.0,17.0
776154,2025-09-27,ATH,KC,Sutter Health Park,5,100.0,334.6,9.49,-1.73,10.03,-0.17,NORMAL,-20.1,20.1
776155,2025-09-27,LAA,HOU,Angel Stadium,6,104.45,378.5,12.27,7.94,9.15,0.87,NORMAL,-18.3,18.3
776156,2025-09-27,ATL,PIT,Truist Park,6,102.37,366.5,15.72,4.94,9.15,0.54,NORMAL,-18.3,18.3
776158,2025-09-27,CLE,TEX,Progressive Field,6,101.3,349.17,16.88,15.16,9.15,1.66,NORMAL,-18.3,18.3
776160,2025-09-27,WSH,CWS,Nationals Park,10,102.2,345.8,2.56,-2.32,7.09,-0.33,NORMAL,-14.2,14.2
776161,2025-09-27,MIA,NYM,loanDepot park,7,101.33,361.57,4.38,-0.96,8.48,-0.11,NORMAL,-17.0,17.0
776162,2025-09-27,NYY,BAL,Yankee Stadium,10,102.66,340.1,-2.68,-3.12,7.09,-0.44,NORMAL,-14.2,14.2
776164,2025-09-27,CHC,STL,Wrigley Field,5,100.22,362.0,9.54,8.92,10.03,0.89,NORMAL,-20.1,20.1
776165,2025-09-26,WSH,CWS,Nationals Park,10,105.15,363.9,6.0,1.13,7.09,0.16,NORMAL,-14.2,14.2
