Game ID,date,home_team,away_team,venue,n_bip,actual_hr,xhr,diff,z,verdict
776135,2025-09-28,LAA,HOU,Angel Stadium,53,5,3.95,1.05,1.09,NORMAL
776136,2025-09-28,SD,AZ,Petco Park,54,2,2.43,-0.43,-0.52,NORMAL
776137,2025-09-28,SF,COL,Oracle Park,41,2,2.19,-0.19,-0.2,NORMAL
776138,2025-09-28,ATH,KC,Sutter Health Park,54,3,3.28,-0.28,-0.38,NORMAL
776139,2025-09-28,SEA,LAD,T-Mobile Park,43,3,2.62,0.38,0.41,NORMAL
776140,2025-09-28,NYY,BAL,Yankee Stadium,42,4,2.54,1.46,1.58,NORMAL
776141,2025-09-28,PHI,MIN,Citizens Bank Park,38,0,0.22,-0.22,-0.49,NORMAL
776142,2025-09-28,CHC,STL,Wrigley Field,42,1,1.03,-0.03,-0.04,NORMAL
776143,2025-09-28,WSH,CWS,Nationals Park,44,3,2.87,0.13,0.14,NORMAL
776144,2025-09-28,MIL,CIN,American Family Field,39,3,3.36,-0.36,-0.35,NORMAL
776145,2025-09-28,TOR,TB,Rogers Centre,48,4,2.72,1.28,1.36,NORMAL
776146,2025-09-27,SF,COL,Oracle Park,46,4,2.94,1.06,1.06,NORMAL
776147,2025-09-28,CLE,TEX,Progressive Field,60,3,3.79,-0.79,-0.6,NORMAL
776148,2025-09-28,MIA,NYM,loanDepot park,46,0,1.42,-1.42,-1.68,NORMAL
776149,2025-09-28,ATL,PIT,Truist Park,41,1,2.18,-1.18,-1.55,NORMAL
776150,2025-09-27,SEA,LAD,T-Mobile Park,47,2,1.94,0.06,0.07,NORMAL
776151,2025-09-28,BOS,DET,Fenway Park,46,3,2.06,0.94,0.99,NORMAL
776152,2025-09-27,SD,AZ,Petco Park,42,4,2.99,1.01,1.64,NORMAL
776153,2025-09-27,MIL,CIN,American Family Field,52,2,0.85,1.15,1.37,NORMAL
776154,2025-09-27,ATH,KC,Sutter Health Park,49,0,0.16,-0.16,-0.42,NORMAL
776155,2025-09-27,LAA,HOU,Angel Stadium,44,4,3.46,0.54,0.54,NORMAL
776156,2025-09-27,ATL,PIT,Truist Park,48,1,1.86,-0.86,-1.04,NORMAL
776157,2025-09-27,BOS,DET,Fenway Park,43,0,0.56,-0.56,-0.84,NORMAL
776158,2025-09-27,CLE,TEX,Progressive Field,41,2,1.85,0.15,0.29,NORMAL
776159,2025-09-27,TOR,TB,Rogers Centre,42,2,1.32,0.68,1.0,NORMAL
776160,2025-09-27,WSH,CWS,Nationals Park,45,5,3.35,1.65,1.63,NORMAL
776161,2025-09-27,MIA,NYM,loanDepot park,42,1,2.1,-1.1,-1.22,NORMAL
776162,2025-09-27,NYY,BAL,Yankee Stadium,41,4,3.54,0.46,0.47,NORMAL
776163,2025-09-27,PHI,MIN,Citizens Bank Park,45,3,2.63,0.37,0.53,NORMAL
776164,2025-09-27,CHC,STL,Wrigley Field,45,6,2.91,3.09,3.05,JUICED
776165,2025-09-26,WSH,CWS,Nationals Park,56,8,5.24,2.76,2.42,JUICED
776166,2025-09-26,SF,COL,Oracle Park,47,3,3.48,-0.48,-0.59,NORMAL
776167,2025-09-26,CHC,STL,Wrigley Field,47,4,2.79,1.21,1.18,NORMAL
776168,2025-09-26,SEA,LAD,T-Mobile Park,41,1,1.69,-0.69,-0.71,NORMAL
776169,2025-09-26,LAA,HOU,Angel Stadium,47,3,2.24,0.76,0.81,NORMAL
776170,2025-09-26,SD,AZ,Petco Park,49,3,4.24,-1.24,-1.2,NORMAL
776171,2025-09-26,MIL,CIN,American Family Field,48,0,0.29,-0.29,-0.55,NORMAL
776172,2025-09-26,ATH,KC,Sutter Health Park,48,1,1.86,-0.86,-0.96,NORMAL
776173,2025-09-26,MIA,NYM,loanDepot park,54,2,2.48,-0.48,-0.76,NORMAL
776174,2025-09-26,NYY,BAL,Yankee Stadium,47,5,3.19,1.81,1.53,NORMAL
776175,2025-09-26,CLE,TEX,Progressive Field,51,2,1.78,0.22,0.24,NORMAL
776176,2025-09-26,PHI,MIN,Citizens Bank Park,40,2,0.39,1.61,2.84,JUICED
776177,2025-09-26,TOR,TB,Rogers Centre,48,3,1.73,1.27,1.79,NORMAL
776178,2025-09-25,LAA,KC,Angel Stadium,49,4,3.27,0.73,0.69,NORMAL
776179,2025-09-25,SEA,COL,T-Mobile Park,51,1,2.42,-1.42,-2.17,DEAD
776180,2025-09-26,ATL,PIT,Truist Park,58,5,4.45,0.55,0.52,NORMAL
776181,2025-09-26,BOS,DET,Fenway Park,48,0,0.72,-0.72,-0.92,NORMAL
776182,2025-09-25,ATH,HOU,Sutter Health Park,56,3,1.64,1.36,1.56,NORMAL
776183,2025-09-25,TEX,MIN,Globe Life Field,45,2,1.81,0.19,0.19,NORMAL
776184,2025-09-25,NYY,CWS,Yankee Stadium,48,1,1.93,-0.93,-1.5,NORMAL
776185,2025-09-25,AZ,LAD,Chase Field,50,4,3.47,0.53,0.48,NORMAL
776186,2025-09-25,TOR,BOS,Rogers Centre,47,2,1.57,0.43,0.52,NORMAL
776187,2025-09-25,CHC,NYM,Wrigley Field,48,5,4.91,0.09,0.08,NORMAL
776188,2025-09-25,PHI,MIA,Citizens Bank Park,45,0,0.03,-0.03,-0.18,NORMAL
776189,2025-09-25,CLE,DET,Progressive Field,49,3,2.96,0.04,0.09,NORMAL
776190,2025-09-25,CIN,PIT,Great American Ball Park,39,0,0.48,-0.48,-0.74,NORMAL
776191,2025-09-25,BAL,TB,Oriole Park at Camden Yards,50,3,2.36,0.64,0.77,NORMAL
776192,2025-09-24,TEX,MIN,Globe Life Field,37,2,2.32,-0.32,-0.26,NORMAL
776193,2025-09-24,AZ,LAD,Chase Field,60,1,2.29,-1.29,-1.39,NORMAL
776194,2025-09-24,SEA,COL,T-Mobile Park,47,6,4.33,1.67,1.66,NORMAL
776195,2025-09-24,ATH,HOU,Sutter Health Park,47,2,2.72,-0.72,-0.75,NORMAL
776196,2025-09-24,SF,STL,Oracle Park,50,1,2.29,-1.29,-1.12,NORMAL
776197,2025-09-24,LAA,KC,Angel Stadium,45,2,1.46,0.54,0.6,NORMAL
776198,2025-09-24,SD,MIL,Petco Park,45,2,1.13,0.87,1.17,NORMAL
776199,2025-09-24,NYY,CWS,Yankee Stadium,49,3,3.36,-0.36,-0.35,NORMAL
776200,2025-09-24,ATL,WSH,Truist Park,47,6,5.43,0.57,0.51,NORMAL
776201,2025-09-24,PHI,MIA,Citizens Bank Park,46,8,5.37,2.63,2.15,JUICED
776202,2025-09-24,CIN,PIT,Great American Ball Park,54,2,2.33,-0.33,-0.35,NORMAL
776203,2025-09-24,BAL,TB,Oriole Park at Camden Yards,49,2,1.73,0.27,0.34,NORMAL
776204,2025-09-24,CLE,DET,Progressive Field,47,1,0.17,0.83,2.08,JUICED
776205,2025-09-24,CHC,NYM,Wrigley Field,53,4,2.72,1.28,1.4,NORMAL
776206,2025-09-24,TOR,BOS,Rogers Centre,53,3,1.96,1.04,1.47,NORMAL
776207,2025-09-23,LAA,KC,Angel Stadium,51,2,2.62,-0.62,-0.58,NORMAL
776208,2025-09-23,ATH,HOU,Sutter Health Park,49,0,0.7,-0.7,-1.01,NORMAL
776209,2025-09-23,CHC,NYM,Wrigley Field,58,3,1.43,1.57,1.57,NORMAL
776210,2025-09-23,TEX,MIN,Globe Life Field,53,1,1.47,-0.47,-0.73,NORMAL
776211,2025-09-23,SF,STL,Oracle Park,58,3,3.01,-0.01,-0.02,NORMAL
776212,2025-09-23,SEA,COL,T-Mobile Park,33,1,1.37,-0.37,-0.59,NORMAL
776213,2025-09-23,AZ,LAD,Chase Field,49,3,2.13,0.87,0.99,NORMAL
776214,2025-09-23,SD,MIL,Petco Park,57,2,2.14,-0.14,-0.14,NORMAL
776215,2025-09-23,PHI,MIA,Citizens Bank Park,63,4,2.93,1.07,1.37,NORMAL
776216,2025-09-23,NYY,CWS,Yankee Stadium,50,1,1.54,-0.54,-0.78,NORMAL
776217,2025-09-23,TOR,BOS,Rogers Centre,52,0,0.42,-0.42,-0.68,NORMAL
776218,2025-09-23,CLE,DET,Progressive Field,33,1,0.99,0.01,0.03,NORMAL
776219,2025-09-23,ATL,WSH,Truist Park,44,4,3.63,0.37,0.68,NORMAL
776220,2025-09-22,SF,STL,Oracle Park,57,3,3.09,-0.09,-0.08,NORMAL
776221,2025-09-22,ATL,WSH,Truist Park,54,3,2.47,0.53,0.75,NORMAL
776222,2025-09-22,SD,MIL,Petco Park,58,1,1.73,-0.73,-0.92,NORMAL
776223,2025-09-23,BAL,TB,Oriole Park at Camden Yards,48,1,1.29,-0.29,-0.4,NORMAL
776224,2025-09-23,CIN,PIT,Great American Ball Park,46,2,1.5,0.5,0.87,NORMAL
776225,2025-09-21,MIN,CLE,Target Field,49,3,2.71,0.29,0.34,NORMAL
776226,2025-09-21,TEX,MIA,Globe Life Field,48,1,2.37,-1.37,-1.43,NORMAL
776227,2025-09-21,LAD,SF,Dodger Stadium,47,0,0.36,-0.36,-0.64,NORMAL
776228,2025-09-21,HOU,SEA,Daikin Park,56,4,3.27,0.73,0.82,NORMAL
776229,2025-09-21,KC,TOR,Kauffman Stadium,65,0,1.14,-1.14,-1.21,NORMAL
776230,2025-09-21,AZ,PHI,Chase Field,63,3,3.3,-0.3,-0.3,NORMAL
776231,2025-09-21,STL,MIL,Busch Stadium,46,1,2.01,-1.01,-1.16,NORMAL
776232,2025-09-21,COL,LAA,Coors Field,37,1,0.81,0.19,0.26,NORMAL
776233,2025-09-20,LAD,SF,Dodger Stadium,45,5,2.94,2.06,1.99,NORMAL
