date,n_bip,actual_hr,xhr,diff,z,verdict
2026-03-25,49,0,1.09,-1.09,-1.3,NORMAL
2026-03-26,546,31,32.93,-1.93,-0.6,NORMAL
2026-03-27,356,17,15.12,1.88,0.71,NORMAL
2026-03-28,733,25,31.55,-6.55,-1.73,NORMAL
2026-03-29,570,29,31.8,-2.8,-0.76,NORMAL
2026-03-30,751,28,30.1,-2.1,-0.58,NORMAL
2026-03-31,672,29,30.4,-1.4,-0.4,NORMAL
2026-04-01,730,29,31.94,-2.94,-0.75,NORMAL
2026-04-10,749,34,40.6,-6.6,-1.61,NORMAL
2026-04-11,759,34,40.14,-6.14,-1.44,NORMAL
2026-04-12,773,36,35.6,0.4,0.11,NORMAL
2026-04-13,557,37,36.67,0.33,0.09,NORMAL
2026-04-14,743,34,33.94,0.06,0.02,NORMAL
2026-04-15,736,36,38.87,-2.87,-0.68,NORMAL
2026-04-16,506,16,21.89,-5.89,-1.79,NORMAL
2026-04-17,790,32,41.16,-9.16,-2.01,DEAD
2026-04-18,813,35,42.55,-7.55,-1.79,NORMAL
2026-04-19,750,29,36.91,-7.91,-1.94,NORMAL
2026-04-20,551,22,24.56,-2.56,-0.73,NORMAL
2026-04-21,712,26,27.34,-1.34,-0.39,NORMAL
2026-04-22,800,36,39.34,-3.34,-0.86,NORMAL
2026-04-23,466,26,24.38,1.62,0.54,NORMAL
2026-04-24,770,50,50.22,-0.22,-0.05,NORMAL
2026-04-25,735,37,36.52,0.48,0.12,NORMAL
2026-04-26,789,38,41.73,-3.73,-0.89,NORMAL
2026-04-27,413,19,21.21,-2.21,-0.75,NORMAL
2026-04-28,751,27,31.53,-4.53,-1.15,NORMAL
2026-04-29,644,27,29.61,-2.61,-0.69,NORMAL
2026-04-30,593,22,27.55,-5.55,-1.63,NORMAL
2026-05-01,773,34,38.98,-4.98,-1.28,NORMAL
2026-05-02,763,26,33.76,-7.76,-1.98,NORMAL
2026-05-03,765,26,34.62,-8.62,-2.27,DEAD
2026-05-04,604,27,32.23,-5.23,-1.44,NORMAL
2026-05-05,664,31,33.24,-2.24,-0.57,NORMAL
2026-05-06,742,30,29.75,0.25,0.07,NORMAL
2026-05-07,520,21,26.99,-5.99,-1.75,NORMAL
2026-05-08,737,28,31.33,-3.33,-0.88,NORMAL
2026-05-09,702,26,29.07,-3.07,-0.84,NORMAL
2026-05-10,729,21,31.19,-10.19,-2.64,DEAD
2026-05-11,302,8,10.36,-2.36,-1.02,NORMAL
2026-05-12,749,35,39.04,-4.04,-0.97,NORMAL
2026-05-13,749,30,31.12,-1.12,-0.3,NORMAL
2026-05-14,538,24,25.68,-1.68,-0.5,NORMAL
2026-05-15,789,30,34.92,-4.92,-1.18,NORMAL
2026-05-16,779,35,36.94,-1.94,-0.48,NORMAL
2026-05-17,795,37,39.98,-2.98,-0.72,NORMAL
2026-05-18,747,32,30.12,1.88,0.49,NORMAL
2026-05-19,736,32,29.61,2.39,0.62,NORMAL
2026-05-21,321,13,12.96,0.04,0.02,NORMAL
2026-05-22,586,19,28.84,-9.84,-2.75,DEAD
2026-05-23,667,23,22.06,0.94,0.28,NORMAL
2026-05-24,753,23,30.96,-7.96,-2.1,DEAD
2026-05-25,666,34,36.22,-2.22,-0.6,NORMAL
2026-05-26,814,52,42.6,9.4,2.25,JUICED
2026-05-27,768,27,33.24,-6.24,-1.52,NORMAL
2026-05-28,283,11,11.76,-0.76,-0.34,NORMAL
2026-05-29,836,51,40.48,10.52,2.64,JUICED
2026-05-30,779,42,45.2,-3.2,-0.7,NORMAL
2026-05-31,764,32,36.93,-4.93,-1.2,NORMAL
2026-06-01,467,31,29.69,1.31,0.37,NORMAL
2026-06-02,749,36,33.52,2.48,0.66,NORMAL
2026-06-03,794,31,32.39,-1.39,-0.37,NORMAL
2026-06-04,491,25,20.76,4.24,1.35,NORMAL
2026-06-05,775,42,35.78,6.22,1.61,NORMAL
2026-06-06,682,36,30.54,5.46,1.49,NORMAL
2026-06-07,769,35,37.5,-2.5,-0.62,NORMAL
2026-06-08,414,19,19.49,-0.49,-0.16,NORMAL
2026-06-09,813,37,35.09,1.91,0.47,NORMAL
2026-06-10,776,42,37.79,4.21,1.04,NORMAL
2026-06-11,361,27,20.31,6.69,2.24,JUICED
2026-06-12,733,38,37.03,0.97,0.24,NORMAL
2026-06-13,761,44,35.15,8.85,2.28,JUICED
2026-06-14,748,39,28.18,10.82,3.04,JUICED
